Tiempo,Nivel del Mar
1/03/2006,178.6666667
1/04/2006,239.2631579
1/05/2006,360.0869565
1/06/2006,403.875
1/07/2006,367.6333333
1/08/2006,408.6129032
1/09/2006,458.1
1/10/2006,514
1/11/2006,433.8421053
1/12/2006,373.8333333
1/01/2007,305.8
1/05/2007,435.6666667
1/06/2007,457
1/01/2008,255.3703704
1/02/2008,376.4482759
1/03/2008,376.9354839
1/04/2008,382.1666667
1/05/2008,364.6190476
1/06/2008,343.7142857
1/07/2008,340
1/08/2008,348.8125
1/09/2008,402.1666667
1/10/2008,405.2068966
1/01/2009,231.8
1/02/2009,261.8214286
1/03/2009,356.7619048
1/04/2009,244.137931
1/05/2009,280.6451613
1/06/2009,343.5
1/01/2010,240.8
1/02/2010,289.3214286
1/03/2010,353.3870968
1/04/2010,297.2666667
1/05/2010,341.0322581
1/06/2010,400
1/07/2010,387.2903226
1/08/2010,400.2083333
1/09/2010,418.1
1/10/2010,451.7096774
1/11/2010,443.2666667
1/12/2010,357.3225806
1/01/2011,279.8064516
1/02/2011,263.9285714
1/03/2011,292.0967742
1/04/2011,338.3333333
1/05/2011,361.7096774
1/06/2011,394.6666667
1/07/2011,361.5172414
1/08/2011,441.4193548
1/09/2011,410.1
1/10/2011,462.2903226
1/11/2011,474.0666667
1/12/2011,431.8064516
1/01/2012,318.5483871
1/02/2012,302.5172414
1/03/2012,344.2592593
1/04/2012,424.6
1/05/2012,419.4193548
1/06/2012,405.4666667
1/07/2012,385.8709677
1/08/2012,473.3548387
1/09/2012,492.4666667
1/10/2012,507.8064516
1/11/2012,459.7333333
1/12/2012,393.3548387
1/01/2013,324.8275862
1/02/2013,378.0357143
1/03/2013,443.5384615
1/04/2013,356.6896552
1/05/2013,445.1935484
1/06/2013,454.5384615
1/07/2013,453.3
1/08/2013,478
1/09/2013,434.6333333
1/10/2013,512.9032258
1/11/2013,483.3
1/12/2013,421.3870968
1/01/2014,422.483871
1/02/2014,399.1785714
1/03/2014,406.9354839
1/04/2014,419.5
1/05/2014,455.6451613
1/06/2014,482.6666667
1/07/2014,503.7419355
1/08/2014,494.6451613
1/09/2014,552.8666667
1/10/2014,543.9333333
1/11/2014,526.9615385
1/12/2014,528.7
1/01/2015,408.8709677
1/02/2015,460.6428571
1/03/2015,374.0322581
1/04/2015,438.7
1/06/2015,368.5714286
1/01/2016,383.7333333
1/02/2016,409.7586207
1/03/2016,373.4516129
1/04/2016,398.5714286
1/05/2016,474.24
1/06/2016,434.2666667
1/07/2016,417.483871
1/08/2016,428.5384615
1/09/2016,535.2333333
1/10/2016,570.3846154
1/11/2016,602.6666667
1/12/2016,457.7096774
1/01/2017,456.7741935
1/02/2017,435.92
1/03/2017,436.5483871
1/04/2017,453.7333333
1/05/2017,438.2857143
1/06/2017,477.9333333
1/07/2017,482.6451613
1/08/2017,482.84
1/09/2017,523.3333333
1/10/2017,561.9285714
1/11/2017,563.5666667
1/12/2017,494.1724138
1/01/2018,480.1935484
1/02/2018,405.5
1/03/2018,466.4782609
1/04/2018,448.7666667
1/05/2018,480.7419355
1/06/2018,408.8148148
1/07/2018,444.5217391
1/08/2018,478.516129
1/09/2018,568.8
1/10/2018,538.3448276
1/11/2018,481.6071429
1/12/2018,452.3548387
1/01/2019,435.3103448
1/02/2019,412.75
1/03/2019,434.6451613
1/04/2019,488.5666667
1/05/2019,510
1/06/2019,469.2333333
1/07/2019,507.0344828
