CODIGO,CATEGORIA,NOMBRE,MUNICIPIO,DEPARTAMENTO,AO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
48015010,SP,Aeropuerto Vásquez Cobo,Leticia,Amazonas,11,84,-69.94,-4.19,351.6,355.1,357.9,376.4,299.9,189.8,158.1,152.5,222.8,255.4,317.5,319.8,3356.9
26180160,PM,Abejorral,Abejorral,Antioquia,1,2450,-75.43,5.79,97.2,97.2,162.4,196.3,222.3,148.7,123.5,149.4,220,288.9,246.3,157.7,2110
11110020,PG,Abriaquí,Abriaquí,Antioquia,1,1920,-76.08,6.64,92.4,108.7,151.1,244.4,263.9,189,141.5,160.8,218.1,270,235,156.4,2231.3
27010850,PM,Amalfi,Amalfi,Antioquia,1,1530,-75.08,6.91,74.1,98.3,152.9,293.2,299,220.8,254.4,260.1,303.7,367.3,251.3,127.8,2702.9
27010960,PM,Hacienda Monos,Amalfi,Antioquia,1,1100,-74.9,6.9,60.3,122.7,163.8,311.9,385.4,344.5,376.1,332.2,357.2,363.1,243.8,93.6,3154.6
26195020,CO,Instituto Téc. Agropecuario de Andes,Andes,Antioquia,1,1180,-75.88,5.69,83.5,102.3,165.8,228.6,249.3,188.6,186.4,189.2,225.3,212.4,185,129.8,2146.2
26190100,PM,Santa Bárbara,Andes,Antioquia,1,1250,-75.9,5.56,116.3,138.7,176.1,248.8,265.7,209.5,197.7,199.5,226.5,262.6,200.7,164.3,2406.4
27020210,PM,Angostura,Angostura,Antioquia,1,1650,-75.33,6.88,50.8,93.7,118.2,255.4,414.6,371.1,347.1,333.7,324.1,317.7,212.3,103.6,2942.3
26210090,PM,Anzá,Anzá,Antioquia,1,550,-75.86,6.3,48.6,63.7,93.8,152,193.5,184.9,148,159.4,173.7,204.3,154.3,69.8,1646
12010070,PM,El Casco ,Apartado,Antioquia,1,18,-76.65,7.88,100,87.2,97.2,235.3,338.4,271.2,237.1,254.1,260.9,284.8,267,205.7,2638.9
12010060,PM,La Lorena ,Apartado,Antioquia,1,31,-76.69,7.86,119.5,100.3,120.1,241.6,316.9,251.6,264.8,236.7,230,278.7,268,196,2624.2
27010800,PM,La Meseta  San Pedro,Bello,Antioquia,1,2600,-75.61,6.4,45.9,53.4,82.4,142.1,181.6,148.4,133.2,128.7,165.8,203.2,148.6,82.2,1515.5
27015090,CO,Tulio Ospina,Bello,Antioquia,1,1453,-75.55,6.32,37.9,50.3,98.9,162.4,191,141,119.8,126.8,176.9,216.4,136.1,77.8,1535.3
27010870,PM,Belmira,Belmira,Antioquia,1,2540,-75.67,6.61,89.5,116,175.2,230.7,262,167.5,151.3,150.1,208.9,244.2,213.3,134.5,2143.2
26190090,PM,Betania-Las Guacas,Betania,Antioquia,1,1600,-75.98,5.76,124.5,151.2,198.2,292.4,318.2,225,222.2,235.2,267.8,307.5,240.9,161.8,2744.9
26210140,PM,Altamira,Betulia,Antioquia,1,1792,-75.95,6.22,62.8,101.1,134.5,204.3,235.1,182.2,186,169.9,222.8,231.2,202.1,104.2,2036.2
26225040,CO,Hacienda Piunti,Buriticá,Antioquia,1,1650,-75.91,6.73,29.5,40.9,67.6,150.4,187.4,135.9,124.5,145.5,184.3,188.9,129.9,64.8,1449.6
26250030,PM,Cáceres,Cáceres,Antioquia,1,95,-75.35,7.58,66.1,88.9,135.8,333.9,438.9,445.1,395.4,466.7,413.5,489,349.5,185.9,3808.7
26240100,PM,Guarumo-La Lucha,Cáceres,Antioquia,1,70,-75.21,7.86,39.9,52.9,65.2,223.7,313.5,371.5,346.7,407.9,376.4,380,254.2,132.4,2964.3
26240060,PM,Manizales,Cáceres,Antioquia,1,75,-75.42,7.84,37.2,46.6,76.8,209.9,323.3,351.7,333.4,374.7,322.7,335.2,251,90,2752.5
26210070,PM,Caicedo,Caicedo,Antioquia,1,1750,-75.98,6.41,66.1,87.9,187.9,244.9,275.4,200.2,176.4,167.7,217,247.5,154.3,91.5,2116.8
12010090,PM,Trigana,Carepa,Antioquia,1,4,-76.71,7.75,91.2,71.7,144.5,263.9,360.7,344,304.3,313.7,302.2,302.1,311.5,238.9,3048.7
26240160,PM,La Coquera ,Caucasia,Antioquia,1,49,-75.2,7.96,21.2,39.4,83,214.1,291.7,363.2,376.9,386.8,372.9,312.8,219.5,89.5,2771
25020530,PM,La Ilusión,Caucasia,Antioquia,1,60,-75.09,8.03,23.1,36.1,74,212.2,308.2,332.1,379.9,370.7,340,326.7,231.4,76.6,2711
12010030,PM,Barranquillita,Chigorodó,Antioquia,1,36,-76.7,7.57,106,75,106.5,250.7,393.7,425.3,419.3,448.3,357.4,349.9,378.6,268.1,3578.8
23080750,PM,Cocorná,Cocorná,Antioquia,1,1455,-75.18,6.05,257.2,248.3,328.6,458.5,487,316.2,306,351.3,480,526.7,471.3,325,4556.1
23080740,PM,Concepción,Concepción,Antioquia,1,1837,-75.26,6.4,88.4,131.7,186,313.4,361.8,290.1,328.5,298.1,341.8,354.9,244.9,129.7,3069.3
26215010,CO,Concordia,Concordia,Antioquia,1,1904,-75.92,6.04,89.8,108.6,153.7,256.6,281,236.1,200.8,200.6,257.4,291.2,241.7,154.5,2472
23080650,PM,Campoalegre,El Carmen de Viboral,Antioquia,1,2137,-75.34,6.07,95.8,125.4,178.5,262.8,333.8,274.9,272.8,277.3,306.6,271.8,187.2,122.5,2709.4
27010830,PM,San Isidro,Entrerríos,Antioquia,1,2320,-75.52,6.56,54.9,73.7,126.9,168,213,183.4,182.9,163.4,193.5,211.7,158.8,81.8,1812
26200150,PM,Fredonia,Fredonia,Antioquia,1,1650,-75.69,5.94,120.2,130.5,181.6,272.2,348.4,243.4,213.6,236.4,291,338.9,303.6,188.5,2868.3
11110030,PM,Fuemia,Frontino,Antioquia,1,905,-76.25,6.86,49.6,47.8,81.8,129.9,208.3,183,130.7,144.1,165.4,205.9,156.9,85.5,1588.9
11110010,PM,Normal Santa Teresa,Frontino,Antioquia,1,1370,-76.13,6.76,79.6,103.4,127.7,255.3,315.5,253.8,200.1,229.8,274,321.5,271.3,131.7,2563.7
26220090,PM,Giraldo,Giraldo,Antioquia,1,1973,-75.96,6.69,48.9,57.6,87.2,184.5,212.9,179.3,152.7,152.8,209.9,231.6,159.8,99.3,1776.5
27010820,PM,La Cuchilla,Girardota,Antioquia,1,1600,-75.45,6.37,41.3,64.1,100,191.9,253.5,170.4,148.5,175.1,218.8,251.6,156.1,93,1864.3
27010900,PM,Gómez Plata,Gómez Plata,Antioquia,1,1850,-75.22,6.68,83.7,115.4,186.6,345.5,438.9,325.4,295.1,336.2,396.8,388.2,278.3,149.9,3340
27010770,PM,El Chuscal,Heliconia,Antioquia,1,2100,-75.71,6.18,140.6,143.9,232.5,325.9,366.6,243.7,200.8,238.8,314.6,375.1,298.3,177.3,3058.1
26220100,PM,La Granja,Ituango,Antioquia,1,1000,-75.73,7.25,24,43.1,57.3,147.6,236.2,209.4,220.5,225.1,227.5,242.6,158.1,71.5,1862.9
26220110,PG,Santa Rita,Ituango,Antioquia,1,1950,-75.62,7.32,46.9,85.6,104.6,222.2,307.1,288.6,322.7,310.4,293.3,341.5,262.6,128.2,2713.7
26170190,PM,El Dique ,Jericó,Antioquia,1,850,-75.72,5.8,96.9,95.2,164.5,235.1,315.2,249.9,195.6,228.2,281.7,316.2,281.8,162,2622.3
26180170,PM,La Unión,La Unión,Antioquia,1,2530,-75.38,6,87.6,120.2,144,223.6,297.2,207.2,206.4,213.3,257.1,237.7,197.2,121.5,2313
26185020,CO,Mesopotamia,La Unión,Antioquia,1,2408,-75.32,5.89,160.3,207.8,258.3,320,405.5,360.6,363.6,331.2,399.1,303,230,194.2,3533.6
