CODIGO,DEPARTAMENTO,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
26180160,Antioquia,2450,-75.43041667,5.78597222,72.0,46.0,104.9,153.20000000000002,206.1,40.8,126.50000000000001,84.89999999999999,232.60000000000002,245.2,260.7,199.20000000000005
11110020,Antioquia,1920,-76.075,6.6425,34.5,84.1,122.30000000000001,192.0,272.0,149.5,164.0,134.0,281.5,322.5,317.70000000000005,176.0
27010850,Antioquia,1530,-75.07722222,6.90555556,36.0,31.0,41.0,274.0,122.0,73.0,341.0,213.0,238.0,389.0,253.0,98.0
27010960,Antioquia,1100,-74.90213889,6.89861111,9.0,66.0,78.0,382.0,207.0,664.0,575.0,782.0,330.0,582.0,186.0,532.0
26195020,Antioquia,1180,-75.88022222,5.691,10.0,104.7,143.0,217.70000000000002,153.1,154.4,189.9,141.20000000000002,217.49999999999997,244.39999999999998,297.6,110.0
26190100,Antioquia,1250,-75.90008333,5.56397222,37.6,69.6,90.0,244.3,171.20000000000002,145.4,253.3,146.4,151.20000000000002,211.7,313.1,184.8
27020210,Antioquia,1650,-75.33247222,6.88305556,54.0,59.0,26.0,252.0,385.0,396.0,372.0,283.0,341.0,359.0,227.0,114.0
26210090,Antioquia,550,-75.85925,6.30313889,12.0,32.0,50.0,216.0,147.0,235.0,151.0,146.0,161.0,225.0,200.0,215.0
12010070,Antioquia,18,-76.64777778,7.88444444,0.0,15.6,0.8,281.40000000000003,322.9,249.80000000000004,374.2,187.89999999999998,133.6,220.79999999999998,349.9,475.1
12010060,Antioquia,10,-76.68916667,7.86305556,0.0,4.3,20.200000000000003,334.0,336.1,245.79999999999998,214.20000000000002,134.3,236.8,293.7,471.5,454.3
27010800,Antioquia,2600,-75.60722222,6.39972222,81.0,70.0,76.7,171.0,253.0,132.0,204.0,168.0,191.0,175.0,186.0,116.0
27015090,Antioquia,1453,-75.55325,6.31969444,36.0,28.5,7.0,160.5,174.1,52.2,159.7,103.9,173.4,190.99999999999997,123.39999999999999,147.5
