CODIGO,CATEGORIA,NOMBRE,MUNICIPIO,DEPARTAMENTO,A0,ELEVACION,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
48015010,SP,Aeropuerto Vasquez Cobo,Leticia,Amazonas,11,84,69.94,-4.19,26,26,26.2,26,25.8,25.1,25.2,25.7,26.1,26.4,26.3,26,25.9
23085050,CP,Santa Rita ,Alejandría,Antioquia,1,1875,-75.17,6.32,17.1,17.4,17.5,17.6,17.9,18,18,17.9,17.5,17.1,17,17,17.5
27025030,CO,Anorí,Anorí,Antioquia,1,1601,-75.15,7.07,18.6,18.7,18.9,19.2,19.6,19.8,19.8,19.8,19.4,19,18.8,18.7,19.2
27015090,CO,Tulio Ospina,Bello,Antioquia,1,1453,-75.55,6.32,21.6,22.3,22.3,22.1,22.1,22.2,22.4,22.5,21.9,21.2,21.3,21.4,21.9
11115020,CO,Cañasgordas,Cañasgordas,Antioquia,1,1294,-76.03,6.76,21.6,21.7,21.8,21.6,21.6,21.7,21.7,21.8,21.5,21.1,21.2,21.4,21.6
11025010,CO,La Mansa,Ciudad Bolívar,Antioquia,1,2018,-76.08,5.88,16.7,16.9,17,17.1,17,17,16.8,16.8,16.6,16.4,16.4,16.6,16.8
26215010,CO,Concordia,Concordia,Antioquia,1,26,-75.92,6.04,18.5,18.9,18.8,18.6,18.5,18.8,18.9,18.9,18.4,17.9,17.9,18.2,18.5
11115040,CO,Musinga,Frontino,Antioquia,1,1396,-76.2,6.78,19.9,20,20.2,20.1,20.1,19.9,19.9,19.9,19.9,19.8,19.8,19.8,19.9
27015070,SP,Aeropuerto Olaya Herrera,Medellín,Antioquia,1,1490,75.59,6.22,22.4,22.8,22.7,22.5,22.6,23,23.2,23.2,22.5,21.8,21.8,22,22.5
23085110,CO,El Peñol,Peñol,Antioquia,1,247,-75.24,6.21,17.8,18,18.1,18.3,18.7,18.9,18.8,18.7,18.4,18,17.9,17.7,18.3
23085170,CP,El Peñol,Peñol,Antioquia,1,1880,-75.22,6.23,17.7,17.8,17.9,18.1,18.4,18.5,18.4,18.3,18,17.7,17.6,17.6,18
23085200,SP,Aeropuerto José María Cordova,Rionegro,Antioquia,1,2157,75.43,6.17,16.7,17.1,17.1,17.3,17.4,17.3,17.3,17.3,17.1,16.5,16.5,16.6,17
23085040,AM,La Selva ,Rionegro,Antioquia,1,2125,75.41,6.13,16.6,16.8,17,17.1,17.1,17,16.8,16.9,16.9,16.5,16.5,16.6,16.8
23085140,CO,San Francisco,San Francisco,Antioquia,1,1325,-75.1,5.96,21.7,21.8,21.8,21.9,21.8,22.1,22,21.9,21.7,21.6,21.6,21.7,21.8
