,Elevacion
0,1374
1,1515
2,1739
3,2141
4,2442
5,2359
6,2391
7,2002
8,2196
9,1935
10,1671
11,2082
12,2083
13,2130
14,2336
15,2543
16,2311
17,2067
18,1720
19,1943
20,2141
21,1952
22,2181
23,2446
24,2689
25,2680
26,2724
27,2793
28,2851
29,2807
30,2803
31,2849
32,2882
33,2922
34,2934
35,2910
36,2970
37,2943
38,2932
39,2901
40,2924
41,2915
42,2947
43,2933
44,2873
45,2885
46,2769
47,2775
48,2673
49,2685
50,2576
51,2634
52,2585
53,2508
54,2446
55,2423
56,2294
57,2330
58,2482
59,2395
60,2361
61,2382
62,2342
63,2313
64,2250
65,2296
66,2288
67,2261
68,2165
69,2092
70,2046
71,1907
72,1760
73,1620
74,1688
75,1757
76,1582
77,1518
78,1572
79,1552
80,1634
81,1591
82,1512
83,1388
84,1455
85,1676
86,1857
87,1922
88,1890
89,1754
90,1734
91,1435
92,1284
93,1534
94,1769
95,1747
96,1525
97,1113
98,940
99,765
100,683
101,1031
102,1257
103,1448
104,1028
105,1222
106,1255
107,1658
108,1645
109,1653
110,1633
111,1739
112,1737
113,1614
114,1624
115,1641
116,1604
117,1627
118,1543
119,1481
120,1574
121,1639
122,1733
123,1743
124,1726
125,1620
126,1622
127,1680
128,1710
129,1783
130,1743
131,1621
132,1524
133,1313
134,1296
135,1272
136,1200
137,1404
138,1489
139,1438
140,1191
141,1103
142,1104
143,1081
144,1151
145,1091
146,1236
147,1196
148,1161
149,1125
150,1066
151,1019
152,1039
153,1083
154,1078
155,845
156,957
157,1031
158,1061
159,1073
160,976
161,974
162,891
163,883
164,891
165,881
166,825
167,774
168,775
169,737
170,783
171,779
172,726
173,736
174,722
175,772
176,778
177,663
178,663
179,686
180,683
181,619
182,627
183,628
184,616
185,619
186,627
187,600
188,616
189,639
190,554
191,500
192,495
193,515
194,549
195,509
196,589
197,556
198,645
199,644
200,592
201,574
202,556
203,488
204,478
205,479
206,497
207,474
208,488
209,427
210,383
211,327
212,268
213,282
214,339
215,324
216,300
217,327
218,286
219,256
220,278
221,249
222,229
223,210
224,188
225,126
226,156
227,151
228,117
229,135
230,141
231,113
232,106
233,107
234,111
235,145
236,150
237,143
238,118
239,123
240,118
241,109
242,115
243,112
244,111
245,102
246,122
247,101
248,112
249,120
250,100
251,95
252,127
253,103
254,118
255,140
256,137
257,130
258,116
259,117
260,100
261,109
262,119
263,131
264,124
265,111
266,108
267,97
268,88
269,90
270,89
271,91
272,78
273,78
274,79
275,90
276,84
277,81
278,86
279,83
280,86
281,88
282,88
283,83
284,84
285,87
286,90
287,91
288,88
289,90
290,86
291,83
292,85
293,89
294,82
295,87
296,83
297,80
298,75
299,104
300,94
301,89
302,97
303,77
304,78
305,81
306,107
307,84
308,80
309,97
310,86
311,91
312,82
313,93
314,104
315,86
316,91
317,93
318,91
319,101
320,103
321,97
322,120
323,119
324,160
325,136
326,104
327,101
328,96
329,113
330,105
331,113
332,138
333,143
334,130
335,126
336,128
337,125
338,125
339,108
340,161
341,179
342,200
343,206
344,210
345,193
346,163
347,171
348,169
349,164
350,830
351,1310
352,1521
353,2029
354,2440
355,2352
356,2106
357,1882
358,1733
359,1993
360,1589
361,2019
362,2055
363,2188
364,2293
365,2419
366,2279
367,2147
368,2097
369,1739
370,1650
371,1888
372,2219
373,2346
374,2526
375,2615
376,2554
377,2583
378,2641
379,2753
380,2882
381,2870
382,2864
383,2945
384,2909
385,2954
386,2914
387,2874
388,2904
389,2880
390,2899
391,2814
392,2801
393,2819
394,2809
395,2813
396,2779
397,2689
398,2573
399,2525
400,2483
401,2536
402,2527
403,2577
404,2552
405,2521
406,2295
407,2161
408,2284
409,2344
410,2227
411,2231
412,2356
413,2255
414,2287
415,2219
416,2054
417,2044
418,2088
419,2077
420,2016
421,1938
422,1699
423,1647
424,1660
425,1611
426,1658
427,1595
428,1623
429,1530
430,1546
431,1588
432,1627
433,1444
434,1453
435,1484
436,1681
437,1854
438,2060
439,1975
440,1759
441,1278
442,1546
443,1629
444,1809
445,1742
446,1500
447,1331
448,1075
449,927
450,631
451,773
452,847
453,1021
454,935
455,888
456,1149
457,1568
458,1704
459,1692
460,1684
461,1589
462,1569
463,1583
464,1562
465,1569
466,1616
467,1622
468,1503
469,1557
470,1614
471,1682
472,1705
473,1656
474,1696
475,1712
476,1723
477,1729
478,1699
479,1746
480,1740
481,1524
482,1578
483,1329
484,1258
485,1255
486,1159
487,1376
488,1501
489,1490
490,1329
491,1135
492,1086
493,1099
494,1075
495,1107
496,1223
497,1272
498,1189
499,1150
500,1158
501,1020
502,962
503,1057
504,977
505,714
506,940
507,999
508,1083
509,1046
510,988
511,969
512,971
513,957
514,964
515,920
516,869
517,905
518,881
519,885
520,795
521,780
522,777
523,760
524,733
525,657
526,696
527,651
528,646
529,649
530,632
531,566
532,582
533,572
534,661
535,628
536,578
537,587
538,583
539,586
540,553
541,520
542,564
543,530
544,560
545,555
546,556
547,559
548,613
549,663
550,608
551,553
552,583
553,491
554,494
555,506
556,502
557,503
558,461
559,436
560,402
561,336
562,306
563,281
564,379
565,338
566,323
567,315
568,243
569,224
570,243
571,223
572,259
573,266
574,250
575,195
576,129
577,135
578,121
579,111
580,127
581,121
582,126
583,109
584,106
585,112
586,115
587,118
588,126
589,110
590,145
591,146
592,123
593,125
594,121
595,116
596,109
597,114
598,105
599,106
600,102
601,106
602,115
603,128
604,147
605,147
606,133
607,149
608,108
609,123
610,129
611,110
612,121
613,99
614,99
615,116
616,111
617,108
618,95
619,91
620,83
621,83
622,83
623,86
624,85
625,83
626,85
627,83
628,78
629,78
630,88
631,96
632,82
633,83
634,83
635,83
636,90
637,85
638,87
639,89
640,87
641,85
642,85
643,83
644,82
645,84
646,86
647,87
648,77
649,77
650,77
651,77
652,77
653,76
654,80
655,113
656,105
657,80
658,88
659,80
660,81
661,84
662,80
663,104
664,128
665,126
666,120
667,103
668,99
669,124
670,108
671,118
672,125
673,119
674,104
675,119
676,116
677,111
678,104
679,116
680,103
681,118
682,142
683,136
684,164
685,162
686,176
687,150
688,141
