,Elevacion
0,941
1,845
2,658
3,748
4,748
5,473
6,767
7,554
8,645
9,815
10,729
11,467
12,613
13,670
14,580
15,502
16,385
17,360
18,314
19,271
20,222
21,213
22,214
23,217
24,209
25,198
26,220
27,217
28,201
29,206
30,239
31,218
32,195
33,196
34,194
35,209
36,189
37,193
38,187
39,192
40,183
41,204
42,193
43,198
44,228
45,233
46,285
47,327
48,337
49,339
50,360
51,565
52,575
53,911
54,1069
55,1012
56,886
57,635
58,437
59,541
60,779
61,1409
62,1454
63,1384
64,963
65,915
66,1014
67,1334
68,1382
69,1290
70,1563
71,1292
72,1026
73,880
74,826
75,1045
76,1305
77,1077
78,863
79,961
80,972
81,975
82,1225
83,1266
84,1343
85,1312
86,1749
87,1743
88,1608
89,1382
90,1545
91,1850
92,1901
93,1366
94,1005
95,755
96,959
97,1150
98,1274
99,827
100,573
101,755
102,1086
103,1190
104,1605
105,1462
106,1294
107,1207
108,921
109,680
110,612
111,573
112,607
113,864
114,1137
115,1326
116,1466
117,1586
118,1614
119,1731
120,1813
121,1903
122,2008
123,2102
124,2227
125,2466
126,2614
127,2991
128,3080
129,3058
130,2973
131,2844
132,2714
133,2583
134,2571
135,2565
136,2564
137,2565
138,2560
139,2563
140,2565
141,2562
142,2561
143,2568
144,2679
145,2785
146,2567
147,2557
148,2560
149,2560
150,2559
151,2662
152,2675
153,2764
154,2678
155,2592
156,2552
157,2676
158,2613
159,2599
160,2573
161,2625
162,2642
163,2400
164,2343
165,2566
166,2596
167,2685
168,2845
169,3056
170,3163
171,2983
172,3039
173,2835
174,2628
175,2611
176,2612
177,2643
178,2808
179,3003
180,2922
181,2932
182,2954
183,3066
184,3245
185,3077
186,2981
187,3073
188,2930
189,2798
190,2788
191,2950
192,2896
193,2820
194,2830
195,2949
196,2966
197,3041
198,2951
199,2971
200,2992
201,2935
202,2845
203,2823
204,2850
205,2904
206,3018
207,3090
208,3159
209,3127
210,3101
211,3207
212,3241
213,3404
214,3486
215,3615
216,3732
217,3710
218,3595
219,3382
220,3206
221,3030
222,2912
223,3185
224,3211
225,3266
226,3405
227,3363
228,3328
229,3250
230,3085
231,3150
232,3204
233,3385
234,3310
235,3249
236,3055
237,3040
238,3033
239,3033
240,3032
241,3032
242,3072
243,3115
244,3190
245,3276
246,3416
247,3409
248,3413
249,3462
250,3537
251,3644
252,3423
253,3470
254,3412
255,3341
256,3317
257,3287
258,3273
259,3347
260,3101
261,3112
262,3240
263,2832
264,2977
265,2961
266,3111
267,3177
268,3296
269,3124
270,2926
271,2760
272,2479
273,2348
274,2277
275,2161
276,1802
277,1526
278,1732
279,1714
280,1915
281,2276
282,2200
283,1899
284,1770
285,1403
286,1139
287,907
288,732
289,1150
290,1049
291,898
292,818
293,1153
294,1217
295,1241
296,1196
297,1126
298,1568
299,1429
300,1165
301,1135
302,870
303,774
304,622
305,767
306,840
307,867
308,577
309,521
310,409
311,469
312,440
313,387
314,417
315,534
316,700
317,702
318,530
319,390
320,329
321,282
322,278
323,253
324,251
325,252
326,246
327,250
328,252
329,251
330,241
331,240
332,235
333,238
334,233
335,233
336,229
337,228
338,226
339,228
340,224
341,220
342,217
343,215
344,212
345,218
346,209
347,209
348,200
349,206
350,720
351,648
352,721
353,716
354,573
355,674
356,496
357,472
358,444
359,716
360,805
361,518
362,562
363,685
364,596
365,515
366,363
367,319
368,320
369,287
370,230
371,211
372,205
373,207
374,202
375,203
376,211
377,203
378,199
379,211
380,196
381,198
382,199
383,196
384,202
385,200
386,192
387,191
388,178
389,184
390,181
391,184
392,187
393,218
394,241
395,256
396,229
397,309
398,277
399,490
400,431
401,299
402,580
403,664
404,863
405,1108
406,921
407,796
408,496
409,684
410,839
411,1315
412,1385
413,1461
414,1034
415,716
416,1091
417,1374
418,1054
419,1102
420,1375
421,1267
422,1224
423,954
424,941
425,1089
426,1243
427,1066
428,1015
429,950
430,1109
431,1279
432,1254
433,1456
434,1239
435,1349
436,1454
437,1635
438,1587
439,1422
440,1381
441,1610
442,1536
443,1392
444,1048
445,939
446,1090
447,1308
448,1475
449,959
450,770
451,622
452,934
453,1023
454,1283
455,1591
456,1254
457,1006
458,808
459,736
460,550
461,801
462,989
463,1046
464,1319
465,1323
466,1720
467,1828
468,1807
469,1799
470,1908
471,1928
472,1988
473,2173
474,2254
475,2358
476,2609
477,2978
478,2960
479,3040
480,2951
481,2936
482,2692
483,2600
484,2582
485,2566
486,2568
487,2563
488,2563
489,2561
490,2560
491,2559
492,2564
493,2562
494,2565
495,2681
496,2667
497,2569
498,2575
499,2601
500,2591
501,2637
502,2833
503,2764
504,2688
505,2643
506,2502
507,2532
508,2547
509,2438
510,2524
511,2502
512,2426
513,2479
514,2385
515,2389
516,2528
517,2726
518,2723
519,2914
520,3117
521,2901
522,2813
523,2976
524,2813
525,2612
526,2606
527,2655
528,2883
529,2874
530,2926
531,2982
532,2981
533,3004
534,3118
535,3197
536,3079
537,3095
538,2969
539,2888
540,2783
541,2778
542,2878
543,2829
544,2833
545,2843
546,2991
547,2935
548,2973
549,3062
550,3047
551,2995
552,2903
553,2808
554,2795
555,2835
556,2893
557,2985
558,3039
559,2994
560,3009
561,3104
562,3280
563,3363
564,3470
565,3547
566,3701
567,3758
568,3618
569,3464
570,3284
571,3094
572,2920
573,2944
574,3024
575,3070
576,3122
577,3294
578,3296
579,3236
580,3030
581,3202
582,3169
583,3251
584,3268
585,3147
586,3112
587,3033
588,3033
589,3033
590,3032
591,3032
592,3113
593,3032
594,3039
595,3123
596,3214
597,3284
598,3293
599,3349
600,3518
601,3513
602,3327
603,3259
604,3324
605,3306
606,3132
607,3166
608,3089
609,3079
610,2884
611,2950
612,2866
613,3074
614,3264
615,3405
616,3418
617,3399
618,3270
619,3087
620,2906
621,2655
622,2484
623,2265
624,1998
625,1951
626,1965
627,1600
628,1473
629,1648
630,1779
631,1943
632,2216
633,2115
634,1953
635,1410
636,1081
637,812
638,852
639,1267
640,1109
641,1155
642,1069
643,967
644,1211
645,1617
646,1516
647,1538
648,1786
649,1781
650,1501
651,1333
652,1122
653,1011
654,680
655,542
656,681
657,718
658,535
659,455
660,593
661,459
662,392
663,379
664,377
665,389
666,576
667,668
668,657
669,474
670,403
671,297
672,402
673,271
674,264
675,254
676,255
677,250
678,256
679,248
680,248
681,243
682,241
683,242
684,234
685,234
686,233
687,231
688,225
689,225
690,223
691,222
692,222
693,218
694,221
695,218
696,214
697,207
698,206
699,204
700,1005
701,786
702,934
703,762
704,520
705,738
706,814
707,736
708,453
709,687
710,771
711,535
712,559
713,664
714,612
715,530
716,474
717,368
718,331
719,275
720,251
721,211
722,214
723,249
724,226
725,198
726,203
727,195
728,194
729,193
730,190
731,189
732,212
733,190
734,197
735,194
736,191
737,188
738,190
739,183
740,186
741,184
742,190
743,220
744,204
745,194
746,199
747,216
748,278
749,461
750,643
751,369
752,395
753,547
754,731
755,984
756,840
757,616
758,479
759,631
760,718
761,871
762,1293
763,1406
764,907
765,741
766,1134
767,853
768,1008
769,1280
770,1398
771,1411
772,978
773,989
774,834
775,943
776,968
777,977
778,919
779,916
780,1294
781,1370
782,1405
783,1281
784,1175
785,1114
786,1229
787,1459
788,1493
789,1350
790,1125
791,1176
792,1283
793,1015
794,841
795,1147
796,1314
797,1404
798,1475
799,1101
800,907
801,533
802,840
803,981
804,1104
805,1422
806,1135
807,998
808,807
809,686
810,539
811,699
812,924
813,1282
814,1387
815,1412
816,1689
817,2033
818,1949
819,1904
820,1945
821,2032
822,2192
823,2232
824,2294
825,2399
826,2633
827,3006
828,2861
829,2972
830,2917
831,2801
832,2672
833,2662
834,2650
835,2578
836,2568
837,2561
838,2561
839,2578
840,2579
841,2561
842,2566
843,2560
844,2610
845,2672
846,2734
847,2709
848,2623
849,2650
850,2636
851,2643
852,2710
853,2831
854,2770
855,2681
856,2603
857,2462
858,2463
859,2336
860,2398
861,2465
862,2258
863,2229
864,2288
865,2397
866,2556
867,2709
868,2899
869,2926
870,2815
871,2825
872,2691
873,2737
874,2616
875,2607
876,2606
877,2631
878,2666
879,2737
880,2867
881,3065
882,3081
883,3070
884,3087
885,3149
886,3135
887,3093
888,3066
889,2927
890,2797
891,2754
892,2813
893,2879
894,2852
895,2813
896,2874
897,2990
898,2991
899,3074
900,3080
901,3084
902,2966
903,2864
904,2767
905,2780
906,2824
907,2894
908,2920
909,2934
910,3054
911,3119
912,3192
913,3277
914,3382
915,3478
916,3585
917,3615
918,3788
919,3668
920,3466
921,3164
922,2994
923,2821
924,2880
925,2967
926,2963
927,3124
928,3144
929,3038
930,3016
931,3190
932,3177
933,3204
934,3180
935,3172
936,3033
937,3033
938,3033
939,3033
940,3033
941,3032
942,3072
943,3032
944,3036
945,3040
946,3057
947,3098
948,3208
949,3326
950,3500
951,3562
952,3346
953,3166
954,3075
955,3078
956,3012
957,3000
958,2965
959,2934
960,3048
961,3229
962,3087
963,2993
964,3193
965,3350
966,3312
967,3392
968,3421
969,3081
970,2946
971,2675
972,2493
973,2279
974,2031
975,2008
976,1825
977,1754
978,1312
979,1463
980,1601
981,1771
982,2017
983,1761
984,1724
985,1228
986,1025
987,780
988,859
989,954
